"Accepted fit","Objective function value","Delta objective","MGC"
1,99225.7394431583,8410.882046499,8.59027606357149e-05
2,90813.2443277505,-1.61306890880223,8.51887176913241e-05
3,100092.172215336,9277.31481867671,9.75014044070821e-05
4,90085.0684346011,-729.788962058199,9.78047539335146e-05
5,90785.9200499285,-28.9373467307887,5.83738309937328e-05
6,93698.7132567459,2883.85586008661,9.77291316315268e-05
7,90826.5866270046,11.7292303452996,7.93774012634888e-05
8,100098.492893701,9283.6354970417,8.30197038982689e-05
9,90035.0870114238,-779.77038523549,9.38155690719946e-05
10,105463.328585159,14648.4711884997,8.99783962834485e-05
11,95069.994434205,4255.1370375457,6.91234438022929e-05
12,89990.3247522887,-824.5326443706,9.21208651695126e-05
13,90110.7309415265,-704.126455132791,8.461249741878e-05
14,100116.618912808,9301.7615161487,9.60503015496442e-05
15,90024.3936855514,-790.463711107892,9.04659037991179e-05
16,90765.825104736,-49.0322919233004,8.51079549598315e-05
17,90813.2442582373,-1.61313842199161,7.43696719535655e-05
18,99373.6036076942,8558.7462110349,9.67939047281994e-05
19,90831.797615951,16.9402192917041,9.95825836610301e-05
20,100071.155225149,9256.29782848971,6.6935283324161e-05
21,89469.6749227088,-1345.1824739505,9.06432885470935e-05
22,99299.9009076066,8485.0435109473,8.58302826100578e-05
23,95094.0809558486,4279.22355918931,9.19793686680475e-05
24,90860.9559103993,46.0985137399985,8.16969710631314e-05
25,93793.6931541629,2978.83575750361,8.40028371323901e-05
