"scenario","model_label","quantity","region","year","q025","q10","q25","q50","q75","q90","q975","n_runs"
"Diagnostic model","Diagnostic model","Regional depletion","All regions",1952,0.992536100599201,0.992705571581685,0.992899641255091,0.993229376239061,0.993791111157295,0.993917516230976,0.994751758112561,25
"Diagnostic model","Diagnostic model","Regional depletion","Region 1",1952,0.984939862585272,0.985341910102183,0.986414681464297,0.987001314034771,0.988094110216327,0.988843646347306,0.989722250888857,25
"Diagnostic model","Diagnostic model","Regional depletion","Region 2",1952,0.997284613868375,0.99730892378953,0.997368221545926,0.997433761358957,0.997737246297312,0.997808633854576,0.997953534857836,25
"Diagnostic model","Diagnostic model","Regional depletion","Region 3",1952,0.994448291658666,0.994629984285452,0.994900340356748,0.995390806249615,0.99568345323741,0.99645014055127,0.996632669591482,25
"Diagnostic model","Diagnostic model","Regional depletion","Region 4",1952,0.995028097808142,0.995274934112103,0.995526853689605,0.995916700694161,0.996237830143115,0.996542333801086,0.996777364476451,25
"Diagnostic model","Diagnostic model","Regional depletion","Region 5",1952,0.999713262581993,0.999728451600721,0.999751607650484,0.999782209215273,0.999816713142977,0.999982393870229,0.999983122514878,25
"Diagnostic model","Diagnostic model","Regional depletion","All regions",1953,0.969401495932855,0.970062973344576,0.970833348883904,0.972259340231881,0.974439734517758,0.974976538993644,0.978258531469132,25
"Diagnostic model","Diagnostic model","Regional depletion","Region 1",1953,0.943404873221441,0.94475583545085,0.948799587381409,0.951056740334925,0.955063689086456,0.957835340971325,0.961070481607741,25
"Diagnostic model","Diagnostic model","Regional depletion","Region 2",1953,0.991206716244963,0.991299598863401,0.991487117673648,0.991730221446292,0.992301175083803,0.992731789151071,0.993141612977467,25
"Diagnostic model","Diagnostic model","Regional depletion","Region 3",1953,0.972208813412982,0.973100311485394,0.97457335420761,0.977026241404887,0.978536448859661,0.980544661975025,0.981553815416041,25
"Diagnostic model","Diagnostic model","Regional depletion","Region 4",1953,0.971685113764984,0.972895202392608,0.974360458386387,0.976186227816133,0.977924725302043,0.980075283625627,0.981483124250215,25
"Diagnostic model","Diagnostic model","Regional depletion","Region 5",1953,0.995028776813379,0.995127472372687,0.995217963822857,0.995368578579353,0.995809641692131,0.998703058391639,0.9987606174579,25
