"year","region","quantity","value","scenario","model_label","run","seed","is_reference","is_base_fit_reference","display_label"
1952,"Region 1","Regional depletion",0.988786049402689,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1952,"Region 2","Regional depletion",0.997797986978647,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1952,"Region 3","Regional depletion",0.99501827746077,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1952,"Region 4","Regional depletion",0.995793295204068,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1952,"Region 5","Regional depletion",0.99983796702629,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1953,"Region 1","Regional depletion",0.957422300584669,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1953,"Region 2","Regional depletion",0.992767566290276,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1953,"Region 3","Regional depletion",0.975077406131438,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1953,"Region 4","Regional depletion",0.975931589081436,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1953,"Region 5","Regional depletion",0.995841174999671,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1954,"Region 1","Regional depletion",0.941924154710277,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1954,"Region 2","Regional depletion",0.984864300626305,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1954,"Region 3","Regional depletion",0.963122030042417,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1954,"Region 4","Regional depletion",0.966856047255861,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1954,"Region 5","Regional depletion",0.985765078876096,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1955,"Region 1","Regional depletion",0.924834655682863,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1955,"Region 2","Regional depletion",0.979471251557071,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1955,"Region 3","Regional depletion",0.961704951183292,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1955,"Region 4","Regional depletion",0.961904895536629,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1955,"Region 5","Regional depletion",0.976009987258523,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1956,"Region 1","Regional depletion",0.904536529671346,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1956,"Region 2","Regional depletion",0.975600548228516,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1956,"Region 3","Regional depletion",0.95443083573487,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1956,"Region 4","Regional depletion",0.945053291192929,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1956,"Region 5","Regional depletion",0.969536581180787,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1957,"Region 1","Regional depletion",0.882830335173304,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1957,"Region 2","Regional depletion",0.972716679390847,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1957,"Region 3","Regional depletion",0.941501256654331,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1957,"Region 4","Regional depletion",0.940239706314995,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1957,"Region 5","Regional depletion",0.964514401188128,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1958,"Region 1","Regional depletion",0.846371858631162,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1958,"Region 2","Regional depletion",0.965397518920184,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1958,"Region 3","Regional depletion",0.914467790348649,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1958,"Region 4","Regional depletion",0.910973424526159,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1958,"Region 5","Regional depletion",0.958702263519959,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1959,"Region 1","Regional depletion",0.796369779411424,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1959,"Region 2","Regional depletion",0.947625974354515,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1959,"Region 3","Regional depletion",0.893177889673831,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1959,"Region 4","Regional depletion",0.883733811621344,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1959,"Region 5","Regional depletion",0.941571818213205,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1960,"Region 1","Regional depletion",0.759414718146641,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1960,"Region 2","Regional depletion",0.930713756150165,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1960,"Region 3","Regional depletion",0.882044493699462,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1960,"Region 4","Regional depletion",0.864024127531237,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1960,"Region 5","Regional depletion",0.923420516519252,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1961,"Region 1","Regional depletion",0.759519374712825,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1961,"Region 2","Regional depletion",0.919360917082234,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1961,"Region 3","Regional depletion",0.87432998415833,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1961,"Region 4","Regional depletion",0.829327877362812,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1961,"Region 5","Regional depletion",0.914286091630677,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1962,"Region 1","Regional depletion",0.750023613370415,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1962,"Region 2","Regional depletion",0.90617041936134,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1962,"Region 3","Regional depletion",0.864108731167181,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1962,"Region 4","Regional depletion",0.813899842578594,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1962,"Region 5","Regional depletion",0.901802051566399,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1963,"Region 1","Regional depletion",0.738586571254738,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1963,"Region 2","Regional depletion",0.892006643930534,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1963,"Region 3","Regional depletion",0.857697917274371,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1963,"Region 4","Regional depletion",0.80000313646771,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1963,"Region 5","Regional depletion",0.894161000971262,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1964,"Region 1","Regional depletion",0.731045217433111,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1964,"Region 2","Regional depletion",0.876719355176384,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1964,"Region 3","Regional depletion",0.841660242821353,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1964,"Region 4","Regional depletion",0.772038144496525,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1964,"Region 5","Regional depletion",0.881539224079665,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1965,"Region 1","Regional depletion",0.748406329683516,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1965,"Region 2","Regional depletion",0.868781067171073,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1965,"Region 3","Regional depletion",0.836174537654791,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1965,"Region 4","Regional depletion",0.783125707814269,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1965,"Region 5","Regional depletion",0.873554743265927,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1966,"Region 1","Regional depletion",0.766012904874465,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
